name,dataset,n_params,time,epoch,test_loss,correct,accuracy,date
convnet,mnist,21840,2,1,0.49622726163864134,4472,0.8944,2021-12-05 16:20:15
convnet,mnist,21840,5,2,0.24873707320690155,4669,0.9338,2021-12-05 16:20:15
convnet,mnist,21840,8,3,0.179840487241745,4755,0.951,2021-12-05 16:20:15
convnet,mnist,21840,11,4,0.14815878592729567,4790,0.958,2021-12-05 16:20:15
convnet,mnist,21840,13,5,0.1274620213508606,4810,0.962,2021-12-05 16:20:15
convnet,mnist,21840,16,6,0.11438227392733097,4832,0.9664,2021-12-05 16:20:15
convnet,mnist,21840,19,7,0.1027448765873909,4853,0.9706,2021-12-05 16:20:15
convnet,mnist,21840,23,8,0.09544982799291611,4864,0.9728,2021-12-05 16:20:15
convnet,mnist,21840,26,9,0.08969170121848583,4870,0.974,2021-12-05 16:20:15
convnet,mnist,21840,30,10,0.08374071633815765,4877,0.9754,2021-12-05 16:20:15
convnet,mnist,21840,33,11,0.07829075596109032,4887,0.9774,2021-12-05 16:20:15
convnet,mnist,21840,37,12,0.07373866094099357,4886,0.9772,2021-12-05 16:20:15
convnet,mnist,21840,41,13,0.07186370490267872,4887,0.9774,2021-12-05 16:20:15
convnet,mnist,21840,44,14,0.06744721127748489,4891,0.9782,2021-12-05 16:20:15
convnet,mnist,21840,48,15,0.06524439415633679,4899,0.9798,2021-12-05 16:20:15
convnet,mnist,21840,52,16,0.0634652586966753,4900,0.98,2021-12-05 16:20:15
convnet,mnist,21840,55,17,0.06158272967040539,4901,0.9802,2021-12-05 16:20:15
convnet,mnist,21840,59,18,0.058290485228598116,4906,0.9812,2021-12-05 16:20:15
convnet,mnist,21840,63,19,0.056319417434558275,4909,0.9818,2021-12-05 16:20:15
convnet,mnist,21840,66,20,0.05609487848207355,4910,0.982,2021-12-05 16:20:15
