name,dataset,n_params,time,epoch,test_loss,correct,accuracy,date
resnext,birds,25028904,272,1,5.1940305058944,10,0.008488964346349746,2021-12-12 12:50:35
resnext,birds,25028904,547,2,5.0025382462907935,19,0.016129032258064516,2021-12-12 12:50:35
resnext,birds,25028904,823,3,4.812433126219667,23,0.019524617996604415,2021-12-12 12:50:35
resnext,birds,25028904,1100,4,4.883650560330454,24,0.02037351443123939,2021-12-12 12:50:35
resnext,birds,25028904,1377,5,4.541082646122206,48,0.04074702886247878,2021-12-12 12:50:35
resnext,birds,25028904,1652,6,4.520680965106232,76,0.06451612903225806,2021-12-12 12:50:35
resnext,birds,25028904,1929,7,5.42427640009817,74,0.06281833616298811,2021-12-12 12:50:35
resnext,birds,25028904,2206,8,4.316849039851708,93,0.07894736842105263,2021-12-12 12:50:35
resnext,birds,25028904,2484,9,4.453601963451237,98,0.0831918505942275,2021-12-12 12:50:35
resnext,birds,25028904,2762,10,4.265099878424497,123,0.10441426146010187,2021-12-12 12:50:35
resnext,birds,25028904,3039,11,4.292493872002956,150,0.1273344651952462,2021-12-12 12:50:35
resnext,birds,25028904,3315,12,4.429848152834207,151,0.12818336162988114,2021-12-12 12:50:35
resnext,birds,25028904,3591,13,4.735820577585839,161,0.1366723259762309,2021-12-12 12:50:35
resnext,birds,25028904,3868,14,5.402490317922699,147,0.12478777589134125,2021-12-12 12:50:35
resnext,birds,25028904,4145,15,5.787502392443413,155,0.13157894736842105,2021-12-12 12:50:35
resnext,birds,25028904,4421,16,5.905159320410322,163,0.13837011884550085,2021-12-12 12:50:35
resnext,birds,25028904,4697,17,6.498662136608959,170,0.14431239388794567,2021-12-12 12:50:35
resnext,birds,25028904,4974,18,6.198735832156066,180,0.15280135823429541,2021-12-12 12:50:35
resnext,birds,25028904,5251,19,6.31013760218596,184,0.15619694397283532,2021-12-12 12:50:35
resnext,birds,25028904,5532,20,6.868242717963123,189,0.16044142614601017,2021-12-12 12:50:35
