name,dataset,n_params,time,epoch,test_loss,correct,accuracy,date
stcoordconv,fashion-mnist,34140,5,1,0.8647795648574829,3328,0.6656,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,10,2,0.6343513066291809,3807,0.7614,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,16,3,0.5785541539192199,3899,0.7798,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,21,4,0.5558002541065216,3925,0.785,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,27,5,0.5633999842643738,3910,0.782,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,32,6,0.49800335688591,4062,0.8124,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,38,7,0.4819302599430084,4066,0.8132,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,43,8,0.4773921827316284,4076,0.8152,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,49,9,0.4556552672863007,4173,0.8346,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,54,10,0.46437379937171935,4149,0.8298,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,60,11,0.45192290992736817,4182,0.8364,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,65,12,0.42690307059288024,4231,0.8462,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,71,13,0.41813433628082275,4234,0.8468,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,76,14,0.4114501895427704,4250,0.85,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,82,15,0.41154572472572326,4271,0.8542,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,87,16,0.39791990337371824,4260,0.852,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,93,17,0.40126324214935305,4271,0.8542,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,98,18,0.4049384476184845,4265,0.853,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,104,19,0.41375566577911377,4247,0.8494,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,109,20,0.389588621711731,4304,0.8608,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,115,21,0.38932733988761903,4281,0.8562,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,120,22,0.4196794654369354,4246,0.8492,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,126,23,0.39545454745292663,4312,0.8624,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,131,24,0.4048305103302002,4277,0.8554,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,137,25,0.40976357412338255,4288,0.8576,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,142,26,0.37995290141105653,4322,0.8644,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,148,27,0.41959437055587767,4222,0.8444,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,153,28,0.40019730792045594,4288,0.8576,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,159,29,0.38172410464286805,4319,0.8638,2021-12-05 21:03:26
stcoordconv,fashion-mnist,34140,164,30,0.3939059073448181,4341,0.8682,2021-12-05 21:03:26
