name,dataset,n_params,time,epoch,test_loss,correct,accuracy,date
stcoordconv,mnist,34140,4,1,0.9110933808326721,4042,0.8084,2021-12-05 19:33:54
stcoordconv,mnist,34140,10,2,0.2243907350540161,4712,0.9424,2021-12-05 19:33:54
stcoordconv,mnist,34140,15,3,0.14485255103111266,4787,0.9574,2021-12-05 19:33:54
stcoordconv,mnist,34140,21,4,0.1062129558801651,4838,0.9676,2021-12-05 19:33:54
stcoordconv,mnist,34140,26,5,0.08962212007045746,4869,0.9738,2021-12-05 19:33:54
stcoordconv,mnist,34140,32,6,0.0943480206489563,4860,0.972,2021-12-05 19:33:54
stcoordconv,mnist,34140,37,7,0.07882676892280578,4881,0.9762,2021-12-05 19:33:54
stcoordconv,mnist,34140,43,8,0.06655304431319237,4899,0.9798,2021-12-05 19:33:54
stcoordconv,mnist,34140,48,9,0.07140144171714782,4884,0.9768,2021-12-05 19:33:54
stcoordconv,mnist,34140,54,10,0.06333938305228949,4904,0.9808,2021-12-05 19:33:54
stcoordconv,mnist,34140,60,11,0.07010710214972496,4899,0.9798,2021-12-05 19:33:54
stcoordconv,mnist,34140,65,12,0.06263104256242513,4902,0.9804,2021-12-05 19:33:54
stcoordconv,mnist,34140,71,13,0.056506902976334095,4910,0.982,2021-12-05 19:33:54
stcoordconv,mnist,34140,76,14,0.055794724540784955,4911,0.9822,2021-12-05 19:33:54
stcoordconv,mnist,34140,82,15,0.055385199883580205,4917,0.9834,2021-12-05 19:33:54
stcoordconv,mnist,34140,87,16,0.051997051385045054,4915,0.983,2021-12-05 19:33:54
stcoordconv,mnist,34140,93,17,0.06120090867355466,4908,0.9816,2021-12-05 19:33:54
stcoordconv,mnist,34140,98,18,0.0513114282220602,4920,0.984,2021-12-05 19:33:54
stcoordconv,mnist,34140,104,19,0.054874427744746206,4911,0.9822,2021-12-05 19:33:54
stcoordconv,mnist,34140,109,20,0.04693272098749876,4922,0.9844,2021-12-05 19:33:54
